t,x1,x2,x3
8.033473,0.060165,0.057850,0.000000
8.133891,0.058969,0.070125,0.000000
8.234310,0.057796,0.084153,0.000000
8.334728,0.056647,0.099973,0.000000
8.435146,0.055521,0.117576,0.000000
8.535565,0.054417,0.136890,0.000000
8.635983,0.053335,0.157779,0.000000
8.736402,0.052274,0.180030,0.000000
8.836820,0.051235,0.203359,0.000000
8.937238,0.050216,0.227405,0.000000
9.037657,0.049218,0.251744,0.000000
9.138075,0.048239,0.275891,0.000000
9.238494,0.047280,0.299322,0.000000
9.338912,0.046340,0.321483,0.000000
9.439331,0.045418,0.341822,0.000000
9.539749,0.044515,0.359800,0.000000
9.640167,0.043630,0.374925,0.000000
9.740586,0.042763,0.386765,0.000000
9.841004,0.041912,0.394976,0.000000
9.941423,0.041079,0.399314,0.000000
10.041841,0.040262,0.399650,0.000000
10.142259,0.039462,0.395973,0.000000
10.242678,0.038677,0.388393,0.000000
10.343096,0.037908,0.377136,0.000000
10.443515,0.037154,0.362532,0.000000
10.543933,0.036416,0.344996,0.000000
10.644351,0.035691,0.325015,0.000000
10.744770,0.034982,0.303118,0.000000
10.845188,0.034286,0.279861,0.000000
10.945607,0.033605,0.255796,0.000000
11.046025,0.032936,0.231454,0.000000
11.146444,0.032281,0.207327,0.000000
11.246862,0.031640,0.183852,0.000000
11.347280,0.031011,0.161399,0.000000
11.447699,0.030394,0.140267,0.000000
11.548117,0.029790,0.120679,0.000000
11.648536,0.029197,0.102784,0.000000
11.748954,0.028617,0.086665,0.000000
11.849372,0.028048,0.072340,0.000000
11.949791,0.027490,0.059777,0.000000
12.050209,0.026943,0.048900,0.000000
12.150628,0.026408,0.039601,0.000000
12.251046,0.025883,0.031749,0.000000
12.351464,0.025368,0.025198,0.000000
12.451883,0.024864,0.019798,0.000000
12.552301,0.024369,0.015400,0.000000
12.652720,0.023885,0.011858,0.000000
12.753138,0.023410,0.009039,0.000000
12.853556,0.022944,0.006821,0.000000
12.953975,0.022488,0.005096,0.000001
13.054393,0.022041,0.003769,0.000001
13.154812,0.021603,0.002759,0.000002
13.255230,0.021173,0.002000,0.000003
13.355649,0.020752,0.001435,0.000004
13.456067,0.020340,0.001019,0.000007
13.556485,0.019935,0.000717,0.000010
13.656904,0.019539,0.000499,0.000016
13.757322,0.019150,0.000344,0.000025
13.857741,0.018770,0.000235,0.000038
13.958159,0.018396,0.000158,0.000057
14.058577,0.018031,0.000106,0.000085
14.158996,0.017672,0.000070,0.000125
14.259414,0.017321,0.000046,0.000183
14.359833,0.016976,0.000030,0.000265
14.460251,0.016639,0.000019,0.000380
14.560669,0.016308,0.000012,0.000540
14.661088,0.015984,0.000008,0.000759
14.761506,0.015666,0.000005,0.001056
14.861925,0.015354,0.000003,0.001454
14.962343,0.015049,0.000002,0.001983
15.062762,0.014750,0.000001,0.002677
15.163180,0.014457,0.000001,0.003577
15.263598,0.014169,0.000000,0.004732
15.364017,0.013887,0.000000,0.006197
15.464435,0.013611,0.000000,0.008035
15.564854,0.013341,0.000000,0.010312
15.665272,0.013075,0.000000,0.013103
15.765690,0.012815,0.000000,0.016482
15.866109,0.012561,0.000000,0.020524
15.966527,0.012311,0.000000,0.025300
16.066946,0.012066,0.000000,0.030876
16.167364,0.011826,0.000000,0.037302
16.267782,0.011591,0.000000,0.044613
16.368201,0.011360,0.000000,0.052822
16.468619,0.011135,0.000000,0.061914
16.569038,0.010913,0.000000,0.071844
16.669456,0.010696,0.000000,0.082529
16.769874,0.010484,0.000000,0.093851
16.870293,0.010275,0.000000,0.105657
16.970711,0.010071,0.000000,0.117754
17.071130,0.009871,0.000000,0.129920
17.171548,0.009674,0.000000,0.141904
17.271967,0.009482,0.000000,0.153439
17.372385,0.009293,0.000000,0.164246
17.472803,0.009109,0.000000,0.174051
17.573222,0.008928,0.000000,0.182591
17.673640,0.008750,0.000000,0.189628
17.774059,0.008576,0.000000,0.194960
17.874477,0.008406,0.000000,0.198431
17.974895,0.008238,0.000000,0.199937
18.075314,0.008075,0.000000,0.199434
18.175732,0.007914,0.000000,0.196936
18.276151,0.007757,0.000000,0.192518
18.376569,0.007602,0.000000,0.186311
18.476987,0.007451,0.000000,0.178495
18.577406,0.007303,0.000000,0.169291
18.677824,0.007158,0.000000,0.158951
18.778243,0.007016,0.000000,0.147745
18.878661,0.006876,0.000000,0.135951
18.979079,0.006739,0.000000,0.123844
19.079498,0.006605,0.000000,0.111682
19.179916,0.006474,0.000000,0.099705
19.280335,0.006345,0.000000,0.088119
19.380753,0.006219,0.000000,0.077098
19.481172,0.006095,0.000000,0.066779
19.581590,0.005974,0.000000,0.057260
19.682008,0.005855,0.000000,0.048606
19.782427,0.005739,0.000000,0.040845
19.882845,0.005625,0.000000,0.033980
19.983264,0.005513,0.000000,0.027984
20.083682,0.005403,0.000000,0.022816
20.184100,0.005296,0.000000,0.018415
20.284519,0.005191,0.000000,0.014714
20.384937,0.005088,0.000000,0.011639
20.485356,0.004986,0.000000,0.009114
20.585774,0.004887,0.000000,0.007065
20.686192,0.004790,0.000000,0.005422
20.786611,0.004695,0.000000,0.004119
20.887029,0.004601,0.000000,0.003098
20.987448,0.004510,0.000000,0.002307
21.087866,0.004420,0.000000,0.001700
21.188285,0.004332,0.000000,0.001241
21.288703,0.004246,0.000000,0.000896
21.389121,0.004162,0.000000,0.000641
21.489540,0.004079,0.000000,0.000454
21.589958,0.003998,0.000000,0.000318
21.690377,0.003918,0.000000,0.000221
21.790795,0.003841,0.000000,0.000152
21.891213,0.003764,0.000000,0.000103
21.991632,0.003689,0.000000,0.000069
22.092050,0.003616,0.000000,0.000046
22.192469,0.003544,0.000000,0.000030
22.292887,0.003474,0.000000,0.000020
22.393305,0.003405,0.000000,0.000013
22.493724,0.003337,0.000000,0.000008
22.594142,0.003271,0.000000,0.000005
22.694561,0.003206,0.000000,0.000003
22.794979,0.003142,0.000000,0.000002
22.895397,0.003079,0.000000,0.000001
22.995816,0.003018,0.000000,0.000001
23.096234,0.002958,0.000000,0.000000
23.196653,0.002899,0.000000,0.000000
23.297071,0.002842,0.000000,0.000000
23.397490,0.002785,0.000000,0.000000
23.497908,0.002730,0.000000,0.000000
23.598326,0.002675,0.000000,0.000000
23.698745,0.002622,0.000000,0.000000
23.799163,0.002570,0.000000,0.000000
23.899582,0.002519,0.000000,0.000000
24.000000,0.002469,0.000000,0.000000
